"","Wargo.109865","Wargo.116774","Wargo.115690","Wargo.118369","Wargo.120662","Wargo.121296","Wargo.121409","Wargo.117349","Wargo.118370","Wargo.122639","Wargo.123197","Wargo.122114","Wargo.123305","Wargo.122637","Wargo.123704","Wargo.122410","Wargo.123009","Wargo.121585","Wargo.122412","Wargo.122724","Wargo.121891","Wargo.121892","Wargo.124418","Wargo.123986","Wargo.124419","Wargo.124421","Wargo.126747","Wargo.126802","Wargo.127261","Wargo.127262","Wargo.130510","Wargo.130511","Wargo.130801","Wargo.132265","Wargo.131512","Wargo.131300","Wargo.133270","Wargo.132266","Wargo.131541","Wargo.131302","Wargo.131051","Wargo.132538","Wargo.132268"
"OTU_3",8657,0,0,20880,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,185,2,0,4,2,2,4,0,2,1,2,0,3,0,0,1,381,2,4,2,56900,3
"OTU_20",1443,0,0,1589,2,2,2,5,2,0,0,655,957,369,0,308,0,0,0,0,0,0,0,0,2,1,3,3965,5,7,2409,6533,2,0,0,1,1,0,0,0,0,0,0
"OTU_366",179,0,109,347,2729,238,602,504,63,1705,0,0,341,2,22,83,493,36,9,0,2,37,403,118,1,438,1120,226,625,325,586,271,70,0,973,370,24,29,1695,0,0,3,585
"OTU_14",45,0,81,253,774,15,122,2670,3060,4,0,0,107,0,0,505,90,196,28,0,0,399,81,1882,7,3913,778,584,671,1206,456,0,2133,885,461,511,0,281,1399,0,684,0,146
"OTU_33",234,17,14,63,191,8,4,95,108,0,963,1565,93,0,0,0,0,73,396,0,148,93,140,52,0,0,123,149,313,63,168,314,0,1611,175,3339,419,286,226,0,0,668,1747
"OTU_622",131,0,0,0,1301,3,0,1,639,0,1,0,0,0,0,0,0,0,0,0,1,0,38,0,1,0,155,0,0,3,2,0,0,0,9,0,0,0,1,0,0,0,2
"OTU_59",98,0,0,398,0,0,823,314,1,0,177,90,59,0,0,28,24,0,0,0,0,23,200,46,0,0,195,134,138,311,121,36,0,183,0,0,76,15,210,0,0,0,175
"OTU_223",235,3,0,173,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,31,5,0,0,1,0,2,0,0,1,19,1,0,2,1103,0
"OTU_10",665,0,415,1832,2418,6,4,1419,495,0,858,0,642,0,0,0,502,110,561,0,265,185,389,96,1535,34,1,1624,1,686,2775,947,4,0,2611,1,937,171,2319,0,4484,0,2178
"OTU_1",1109,2964,1832,9667,6218,37184,51,3292,10846,22,8651,8115,1791,702,38,817,2645,3308,5487,0,1479,495,6418,267,18174,11458,8670,6347,6813,19624,8987,4730,17,18884,10,27744,8796,343,16896,7,19133,2375,11693
"OTU_22",178,0,23,186,374,501,78,403,55,288,445,0,3,2,413,1,36,45,84,258,163,54,486,502,67,25,387,345,361,11,810,949,4019,382,1201,1806,317,209,119,1133,0,38,954
"OTU_364",66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_494",93,0,119,302,819,3,3,1280,394,0,0,302,0,0,0,102,0,40,125,0,20,4,96,0,986,0,103,0,0,1,0,187,201,950,2417,710,0,13,0,0,1,1,0
"OTU_73",61,12,14,80,956,0,0,384,0,0,0,0,324,0,11,165,94,2,0,0,0,122,213,0,0,1,1,0,78,0,0,15,0,48,0,0,0,70,897,0,0,0,75
"OTU_21",63,12,0,1,2,7,684,458,5,0,0,0,103,62,130,0,39,0,5,111,825,2,15,0,0,0,0,1,405,3,2,867,11075,163,331,0,37,43,548,317,2,0,0
"OTU_555",1,0,0,6,1,0,0,16,0,6,0,0,0,0,0,4,0,0,0,0,0,0,13,0,0,0,6,1,0,0,0,1,47,1,0,0,0,21,41,0,0,0,0
