"","X","McAllister.LTS.MD10","McAllister.LTS.MD11","McAllister.LTS.MD12","McAllister.LTS.MD13","McAllister.LTS.MD14","McAllister.LTS.MD15","McAllister.LTS.MD16","McAllister.LTS.MD17","McAllister.LTS.MD18","McAllister.LTS.MD19","McAllister.LTS.MD2","McAllister.LTS.MD20","McAllister.LTS.MD21","McAllister.LTS.MD3","McAllister.LTS.MD4","McAllister.LTS.MD5","McAllister.LTS.MD6","McAllister.LTS.MD7","McAllister.LTS.MD8","McAllister.LTS.MD9","McAllister.STS.MD1","McAllister.STS.MD10","McAllister.STS.MD11","McAllister.STS.MD12","McAllister.STS.MD13","McAllister.STS.MD14","McAllister.STS.MD15","McAllister.STS.MD16","McAllister.STS.MD17","McAllister.STS.MD18","McAllister.STS.MD19","McAllister.STS.MD2","McAllister.STS.MD20","McAllister.STS.MD21","McAllister.STS.MD22","McAllister.STS.MD3","McAllister.STS.MD4","McAllister.STS.MD5","McAllister.STS.MD6","McAllister.STS.MD7","McAllister.STS.MD8","McAllister.STS.MD9"
"1","Zotu.0001",1,1,0,1,0,1,1,0,1,2,0,2,0,2,0,1,2,2,2,1,0,1,0,1,0,2,6,2,4,0,2,0,1,2,0,2,1,1,1,1,1,5
"2","Zotu.0002",0,0,3,3,1,0,1,2,0,3,1,1,1,1,3,2,0,0,0,0,0,1,0,2,0,0,2,1,1,0,1,1,1,0,0,2,0,2,3,0,2,1
"3","Zotu.0003",1,1,0,1,0,1,1,1,0,0,1,0,2,2,2,0,2,1,1,0,3,0,0,1,0,0,1,0,0,0,2,3,3,1,2,1,1,0,0,1,0,0
"4","Zotu.0004",1,1,0,0,1,0,1,0,2,0,1,2,0,1,0,1,3,0,1,1,1,0,1,0,1,2,3,0,2,2,2,2,1,1,1,1,1,0,1,0,0,0
"5","Zotu.0005",2,0,2,0,0,0,1,0,0,2,0,1,1,1,2,0,0,1,1,1,3,0,2,1,0,2,0,0,0,4,0,0,0,0,2,2,2,2,1,1,1,1
"6","Zotu.0006",3,2,1,2,2,1,0,0,1,0,1,1,0,0,0,0,1,0,0,2,1,2,0,0,0,0,1,1,0,1,1,0,3,0,1,0,3,0,1,1,3,3
"7","Zotu.0007",0,1,1,1,3,0,1,1,1,2,3,1,2,2,3,4,1,1,3,1,2,2,3,2,3,1,0,1,0,2,0,1,2,0,0,2,2,0,1,0,1,2
"8","Zotu.0008",2,2,1,0,1,1,3,1,1,1,1,2,2,2,1,1,1,3,2,2,1,2,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,2,1,0,1,3
"9","Zotu.0009",1,0,0,0,3,1,3,3,1,3,1,0,2,0,0,2,2,1,2,3,0,2,1,1,2,0,0,1,0,1,0,1,0,0,3,1,0,0,1,3,1,1
"10","Zotu.0010",1,1,4,1,1,2,3,2,1,0,0,1,0,1,3,0,0,0,0,0,1,0,3,1,3,0,1,1,1,0,0,3,3,1,2,3,0,1,1,1,1,1
